time_step,score_mean,score_plus_std,score_minus_std, 0_mean, 0_plus_std, 0_minus_std,exit_rate_mean,exit_rate_plus_std,exit_rate_minus_std
660000,0.316326530612245,1.12494400969914,-0.492290948474653,0.00340136054421769,0.0617225448961981,0,0.000850340136054422,0.0154306362240495,0
665000,0.316151202749141,1.12326203423406,-0.490959628735775,0.00687285223367698,0.0896324603962101,0,0.00171821305841924,0.0224081150990525,0
670000,0.416382252559727,1.27884401503894,-0.446079509919482,0.00341296928327645,0.061833593066975,0,0.000853242320819113,0.0154583982667438,0
675000,0.338870431893688,1.18234581376492,-0.50460494997754,0.0199335548172757,0.182007598298399,0,0.00498338870431894,0.0455018995745998,0
680000,0.304635761589404,1.18251736678272,-0.573245843603912,0.0198675496688742,0.159644242743458,0,0.00496688741721854,0.0399110606858644,0
685000,0.327759197324415,1.2098699945591,-0.55435159991027,0.0167224080267559,0.145166739057937,0,0.00418060200668896,0.0362916847644843,0
690000,0.463667820069204,1.30502195369086,-0.377686313552451,0.0242214532871972,0.178224179487246,0,0.00605536332179931,0.0445560448718116,0
695000,0.36241610738255,1.22865349213516,-0.503821277370062,0.0201342281879195,0.160829885965321,0,0.00503355704697987,0.0402074714913303,0
700000,0.327702702702703,1.20532050654432,-0.549915101138918,0.0304054054054054,0.202396254111025,0,0.00760135135135135,0.0505990635277561,0
705000,0.337931034482759,1.23945369610262,-0.563591627137098,0.0310344827586207,0.204745152352346,0,0.00775862068965517,0.0511862880880865,0
710000,0.321554770318021,1.15041906188423,-0.507309521248183,0.0176678445229682,0.149642223851829,0,0.00441696113074205,0.0374105559629574,0
715000,0.242214532871972,1.03068391573013,-0.546254849986188,0.0242214532871972,0.178224179487246,0,0.00605536332179931,0.0445560448718116,0
720000,0.136222910216718,1.0485372016239,-0.776091381190465,0.0185758513931889,0.153806789036093,0,0.00464396284829721,0.0384516972590233,0
725000,0.126582278481013,1.06759947357509,-0.814434916613067,0.0221518987341772,0.169562745709246,0,0.0055379746835443,0.0423906864273115,0
730000,0.29757785467128,1.14415655847271,-0.549000849130146,0.0346020761245675,0.217688834918519,0,0.00865051903114187,0.0544222087296299,0
735000,0.201298701298701,1.20539370523828,-0.802796302640876,0.0551948051948052,0.283926532267524,0,0.0137987012987013,0.070981633066881,0
740000,0.0432276657060519,1.19167671412076,-1.10522138270866,0.0432276657060519,0.246890547463644,0,0.010806916426513,0.061722636865911,0
745000,0.312703583061889,1.3384831463714,-0.713075980247626,0.0651465798045603,0.312333818010193,0,0.0162866449511401,0.0780834545025482,0
750000,0.304054054054054,1.31355994952988,-0.705451841421776,0.0709459459459459,0.328115250695838,0,0.0177364864864865,0.0820288126739595,0
755000,0.34,1.33045612950883,-0.650456129508827,0.0933333333333333,0.384718370162352,0,0.0233333333333333,0.0961795925405879,0
760000,0.35958904109589,1.33918000469343,-0.620001922501653,0.0719178082191781,0.330713100932502,0,0.0179794520547945,0.0826782752331254,0
765000,0.510948905109489,1.3805982245318,-0.358700414312823,0.0802919708029197,0.352533895121239,0,0.0200729927007299,0.0881334737803097,0
770000,0.589928057553957,1.64654174560666,-0.466685630498743,0.079136690647482,0.349575515788255,0,0.0197841726618705,0.0873938789470636,0
775000,0.542857142857143,1.46546392638398,-0.37974964066969,0.0821428571428571,0.357216742855635,0,0.0205357142857143,0.0893041857139088,0
780000,0.273846153846154,1.39687624302301,-0.849183935330704,0.0523076923076923,0.275297818526911,0,0.0130769230769231,0.0688244546317278,0
785000,0.0338541666666667,1.1951983682952,-1.12749003496187,0.0546875,0.282353386497458,0,0.013671875,0.0705883466243646,0
790000,0.276190476190476,1.3364323494653,-0.784051397084351,0.0698412698412698,0.325126124249247,0,0.0174603174603175,0.0812815310623118,0
795000,0.230283911671924,1.26479791492976,-0.804230091585909,0.0410094637223975,0.239635097302804,0,0.0102523659305994,0.059908774325701,0
800000,0.324137931034483,1.19570144374468,-0.547425581675719,0.0172413793103448,0.147635950909738,0,0.00431034482758621,0.0369089877274344,0
805000,0.371929824561404,1.36588238137632,-0.622022732253514,0.0385964912280702,0.231566592142176,0,0.00964912280701754,0.057891648035544,0
810000,0.496376811594203,1.46308890902285,-0.470335285834441,0.0398550724637681,0.235829042932933,0,0.00996376811594203,0.0589572607332333,0
815000,0.447098976109215,1.56732099747662,-0.673123045258193,0.0750853242320819,0.339065157332802,0,0.0187713310580205,0.0847662893332006,0
820000,0.534722222222222,1.60645724098629,-0.537012796541847,0.09375,0.385737959753677,0,0.0234375,0.0964344899384193,0
825000,0.570397111913357,1.60227533526034,-0.461481111433621,0.0866425992779783,0.368462369115866,0,0.0216606498194946,0.0921155922789666,0
830000,0.411552346570397,1.29841914965673,-0.475314456515937,0.072202166064982,0.33149298174641,0,0.0180505415162455,0.0828732454366025,0
835000,0.400696864111498,1.33362192167619,-0.532228193453197,0.0452961672473868,0.25361234223503,0,0.0113240418118467,0.0634030855587575,0
840000,0.297945205479452,1.21190484561208,-0.616014434653178,0.0445205479452055,0.25112318360329,0,0.0111301369863014,0.0627807959008224,0
845000,0.456834532374101,1.38567841294342,-0.472009348195223,0.0611510791366907,0.301190423495041,0,0.0152877697841727,0.0752976058737602,0
850000,0.33112582781457,1.38276182148563,-0.720510165856496,0.0728476821192053,0.333165345162426,0,0.0182119205298013,0.0832913362906066,0
855000,0.250764525993884,1.44049217032883,-0.938963118341067,0.0672782874617737,0.318165533149138,0,0.0168195718654434,0.0795413832872845,0
860000,0.548736462093863,1.61975124866301,-0.522278324475285,0.0830324909747292,0.359463240142472,0,0.0207581227436823,0.0898658100356179,0
865000,0.418439716312057,1.3998036329721,-0.562924200347986,0.0638297872340426,0.308713838741112,0,0.0159574468085106,0.0771784596852779,0
870000,0.298360655737705,1.26123939244593,-0.664518080970522,0.0655737704918033,0.313516122332036,0,0.0163934426229508,0.0783790305830089,0
875000,0.462068965517241,1.44652033226788,-0.522382401233395,0.0620689655172414,0.30376681387047,0,0.0155172413793103,0.0759417034676174,0
